run_id,temperature,rationality,consensus_reached,rounds_to_consensus,final_leading_margin,polarisation_start,polarisation_peak,polarisation_final,max_gridlock_span,gridlock_end_round,mean_switches_per_agent,run_outcome,winner_name
temp_0_50_rat_0_75_43_run_73_spoulain1,0.5,0.75,True,10,16,0.0010069904732651843,0.003535116243464223,0.0027916280170953017,0,,67.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_35_run_4_spoulain,0.5,0.75,True,12,18,0.001126321215922582,0.003982996561023672,0.0020984110443797647,0,,72.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_1_run_10_kverlaan,0.5,0.75,True,30,16,0.002156539344075482,0.0022707194591221644,0.0022707194591221644,3,13.0,73.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_2_run_10_mbelkhatir,0.5,0.75,True,10,19,0.00113855967857936,0.0028073844238434543,0.0028073844238434543,0,,65.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_41_run_71_spoulain1,0.5,0.75,True,18,19,0.004036182700219975,0.004797641159650635,0.003014763309760003,0,,81.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_4_run_118_spoulain1,0.5,0.75,True,5,17,0.0035923643206476463,0.004307189441123396,0.004307189441123396,0,,59.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_18_run_16_kverlaan,0.5,0.75,True,3,15,0.0034562665743291727,0.0034562665743291727,0.0019596591191658043,0,,58.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_17_run_15_spoulain,0.5,0.75,True,18,21,0.002290874946350837,0.0034102030258868392,0.0034102030258868392,0,,82.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_26_run_20_kverlaan,0.5,0.75,True,4,19,0.001452682711625972,0.006995077877146506,0.004193485486974663,0,,55.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_14_run_14_kverlaan,0.5,0.75,True,9,17,0.0016474770106172146,0.003932704184118507,0.002551214253001586,0,,63.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_23_run_1_kverlaan,0.5,0.75,True,16,15,0.0011733786601846553,0.001997040906364985,0.001997040906364985,0,,72.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_3_run_12_spoulain,0.1,0.25,True,19,16,0.0015654462892225446,0.0032821646067405052,0.0032821646067405052,4,8.0,67.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_5_run_14_ehazbolatow,0.1,0.25,True,7,26,0.0013161334330150198,0.004312706419605902,0.0025593244562005847,0,,71.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_13_run_18_spoulain,0.1,0.25,True,8,15,0.0009766390412082784,0.002940838803483961,0.0027286493503701653,0,,66.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_11_run_17_spoulain,0.1,0.25,True,10,20,0.0020981896170788844,0.0027333061390121794,0.0027333061390121794,0,,66.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_31_run_32_ehazbolatow,0.1,0.25,True,10,15,0.0011929697300917304,0.002798221181253159,0.002798221181253159,0,,63.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_9_run_16_ehazbolatow,0.1,0.25,True,12,18,0.00111658193848742,0.0031185277000637373,0.0031185277000637373,0,,69.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_4_run_13_spoulain,0.1,0.25,True,16,17,0.0015979617560935263,0.0027830123716131782,0.0027830123716131782,3,5.0,65.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_26_run_29_ehazbolatow,0.1,0.25,True,28,16,0.001484243453240044,0.0016078054525277595,0.0016078054525277595,3,17.0,76.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_15_run_19_spoulain,0.1,0.25,True,33,16,0.001830853550053947,0.0021788187290292887,0.0021788187290292887,3,15.0,82.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_14_run_19_ehazbolatow,0.1,0.25,True,3,28,0.0013652512179543647,0.0019772110981005606,0.0019772110981005606,0,,68.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_42_run_6_spoulain,0.1,0.25,True,32,20,0.0013162587700478185,0.00338514768294656,0.00338514768294656,4,31.0,88.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_27_run_2_spoulain1,0.1,0.25,True,5,18,0.001500258497455457,0.0018966396505919428,0.0018586504478610125,0,,68.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_23_run_26_ehazbolatow,0.1,0.25,True,12,15,0.0015873619420785363,0.0031664638040989697,0.0031664638040989697,0,,68.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_16_run_1_ehazbolatow,0.1,0.25,True,29,19,0.0011090730869845764,0.0027875510065369447,0.0027875510065369447,0,,96.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_35_run_5_ehazbolatow,0.1,0.25,True,3,16,0.0013974121378362552,0.001752232931429218,0.001692406077559791,0,,61.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_1_run_10_spoulain1,0.1,0.25,True,4,35,0.0010322398245597494,0.0024438836228393634,0.0024438836228393634,0,,75.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_7_run_15_ehazbolatow,0.1,0.25,True,13,16,0.0016763778072285617,0.002221002161471173,0.002053130714430846,4,12.0,58.0,CONSENSUS,Robert Francis Prevost
temp_0_10_rat_0_25_44_run_7_spoulain,0.1,0.25,True,16,15,0.001247213605045184,0.0024352660885277578,0.0019686470930793086,0,,71.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_18_run_20_ehazbolatow,0.1,0.25,True,22,15,0.0012723887950589167,0.00300552411102238,0.00300552411102238,0,,76.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_10_run_16_spoulain,0.1,0.25,True,30,19,0.0011191806989403427,0.003503782133849479,0.003503782133849479,7,29.0,68.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_24_run_27_ehazbolatow,0.1,0.25,True,24,16,0.0015089393693570074,0.002322934902630327,0.002322934902630327,6,21.0,72.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_41_run_66_ehazbolatow,0.1,0.25,True,10,16,0.001182089390187616,0.003057014011828174,0.003057014011828174,0,,65.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_36_run_5_spoulain,0.1,0.25,True,4,34,0.0015439170521299934,0.0018558600377033816,0.0018369390834935765,0,,75.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_12_run_18_ehazbolatow,0.1,0.25,True,9,16,0.001201189716985727,0.0036722789155973524,0.0032382460414752358,0,,68.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_33_run_3_spoulain,0.1,0.25,True,12,17,0.0011687184562446493,0.0029472096009289504,0.0029472096009289504,0,,65.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_43_run_7_spoulain1,0.1,0.25,True,6,15,0.0012170281336246211,0.0032952634720840607,0.0032952634720840607,0,,63.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_19_run_20_spoulain,0.1,0.25,True,13,17,0.0015429103174139853,0.003257395113128362,0.003257395113128362,0,,65.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_6_run_14_spoulain,0.1,0.25,True,7,18,0.0012605690470643377,0.003893487241274605,0.003893487241274605,0,,71.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_17_run_1_spoulain,0.1,0.25,True,11,16,0.0016918879338790177,0.0036410909226656536,0.0036410909226656536,3,7.0,66.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_28_run_2_spoulain,0.1,0.25,True,3,37,0.0014408525669359325,0.004159827411567139,0.0018454395100990562,0,,77.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_29_run_30_ehazbolatow,0.1,0.25,True,31,15,0.0013582691833625953,0.0033988813729662086,0.002832309324602203,6,8.0,64.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_10_rat_0_25_32_run_33_ehazbolatow,0.1,0.25,True,29,16,0.001292719893968711,0.002625420060746172,0.002625420060746172,8,23.0,69.0,CONSENSUS,Luis Antonio Gokim Tagle
